b2901_v,b2901_a,keithley_a,b2901_v,b2901_a,keithley_a,b2901_v,b2901_a,keithley_a,b2901_v,b2901_a,keithley_a
-9.0,-1.6449e-08,6.766561e-10,-9.0,6.611e-09,1.06865e-09,-9.0,-2.4542e-08,1.117883e-09,-9.0,1.5406e-08,1.160678e-09
-8.0,-5.272e-09,4.104597e-10,-8.0,1.4363e-08,5.256591e-10,-8.0,-1.086e-09,5.690112e-10,-8.0,-2.3858e-08,6.118052e-10
-7.0,1.7713e-08,2.577895e-10,-7.0,-2.3304e-08,3.481945e-10,-7.0,2.2146e-08,3.939295e-10,-7.0,-3.979e-09,4.335801e-10
-6.0,-2.5302e-08,2.074909e-10,-6.0,-6.156e-09,2.451639e-10,-6.0,-2.1711e-08,3.054505e-10,-6.0,2.1022e-08,3.41299e-10
-5.0,2.2494e-08,1.201782e-10,-5.0,2.3806e-08,1.96133e-10,-5.0,-6.059e-09,2.320314e-10,-5.0,-1.9784e-08,2.905946e-10
-4.0,-1.3546e-08,1.267698e-10,-4.0,-1.3904e-08,1.561782e-10,-4.0,2.436e-08,2.041441e-10,-4.0,-5.37e-09,2.355805e-10
-3.0,-5.524e-09,7.053894e-11,-3.0,-1.8242e-08,1.270231e-10,-3.0,1.038e-08,1.756992e-10,-3.0,2.4321e-08,2.196089e-10
-2.0,2.145e-08,5.96376e-11,-2.0,2.3691e-08,1.016204e-10,-2.0,-2.5305e-08,1.542512e-10,-2.0,-1.5526e-08,2.007469e-10
-1.0,-2.4309e-08,4.89897e-11,-1.0,4.771e-09,9.568786e-11,-1.0,7.886e-09,1.237273e-10,-1.0,-1.4416e-08,1.689554e-10
0.0,1.4823e-08,7.462891e-12,0.0,-2.5125e-08,7.018386e-11,0.0,1.5201e-08,1.213442e-10,0.0,2.2037e-08,1.518173e-10
1.0,-1.491e-09,2.632487e-11,1.0,9.719e-09,5.720355e-11,1.0,-2.3954e-08,1.03547e-10,1.0,2.529e-09,1.558737e-10
2.0,-1.488e-08,1.074182e-12,2.0,2.0342e-08,5.152485e-11,2.0,-6.77e-10,9.918659e-11,2.0,-2.1855e-08,1.288483e-10
3.0,2.4704e-08,-7.900451e-12,3.0,-2.1858e-08,4.102894e-11,3.0,2.5177e-08,7.996963e-11,3.0,1.8977e-08,1.180991e-10
4.0,-2.3699e-08,-6.497303e-13,4.0,-4.626e-09,1.750226e-11,4.0,-5.864e-09,7.662322e-11,4.0,2.4e-09,1.195188e-10
5.0,1.2542e-08,-4.172016e-11,5.0,2.5215e-08,2.135575e-11,5.0,-2.0632e-08,6.019517e-11,5.0,-2.4209e-08,1.097836e-10
6.0,6.194e-09,-2.042434e-11,6.0,-1.14e-08,2.064592e-11,6.0,1.4003e-08,5.811626e-11,6.0,1.3804e-08,9.082032e-11
7.0,-2.3551e-08,-3.51793e-11,7.0,-1.7271e-08,3.642503e-13,7.0,2.006e-08,5.086551e-11,7.0,2.0516e-08,9.776677e-11
8.0,7.402e-09,-5.064407e-11,8.0,2.1161e-08,-2.525834e-12,8.0,-1.5036e-08,5.3857e-11,8.0,-1.9363e-08,9.492733e-11
9.0,1.3312e-08,-4.963e-11,9.0,8.008e-09,8.831852e-12,9.0,-1.8225e-08,3.712468e-11,9.0,-1.0421e-08,7.951334e-11
10.0,-2.3344e-08,-5.409195e-11,10.0,-1.1886e-08,-7.951202e-12,10.0,1.652e-08,2.977259e-11,10.0,2.5235e-08,7.479777e-11
11.0,2.4745e-08,-7.143278e-11,11.0,-2.0809e-08,-1.246391e-11,11.0,1.6838e-08,2.835299e-11,11.0,-3.463e-09,8.138937e-11
12.0,-1.4632e-08,-5.028918e-11,12.0,2.0032e-08,-2.519063e-11,12.0,-5.509e-09,2.495575e-11,12.0,-2.4273e-08,5.847112e-11
13.0,-3.789e-09,-7.630038e-11,13.0,7.313e-09,-1.307232e-11,13.0,-2.4125e-08,1.84656e-11,13.0,1.5635e-08,5.674712e-11
14.0,2.0217e-08,-7.488065e-11,14.0,-2.4411e-08,-2.726954e-11,14.0,7.801e-09,1.5829e-11,14.0,1.8572e-08,5.482027e-11
15.0,-2.3651e-08,-6.823841e-11,15.0,8.701e-09,-4.293706e-11,15.0,2.3424e-08,1.430792e-11,15.0,-2.3532e-08,5.674715e-11
16.0,1.4481e-08,-8.218206e-11,16.0,2.5091e-08,-3.00075e-11,16.0,-1.4275e-08,1.410504e-11,16.0,4.133e-09,3.981199e-11
17.0,1.1705e-08,-8.350038e-11,17.0,1.5654e-08,-3.533149e-11,17.0,-1.6032e-08,8.83181e-12,17.0,1.9244e-08,5.304579e-11
18.0,-2.3659e-08,-8.116797e-11,18.0,-2.3807e-08,-3.812025e-11,18.0,2.3822e-08,5.029033e-12,18.0,-1.9538e-08,4.391904e-11
19.0,2.1475e-08,-9.724119e-11,19.0,3.099e-09,-4.734835e-11,19.0,3.816e-09,-4.452633e-12,19.0,-1.0646e-08,3.408228e-11
20.0,-6.116e-09,-8.192854e-11,20.0,2.5027e-08,-4.481315e-11,20.0,-2.3305e-08,-9.776603e-12,20.0,2.5665e-08,3.717537e-11
21.0,-8.803e-09,-1.045933e-10,21.0,8.458e-09,-4.481313e-11,21.0,1.8907e-08,-8.813228e-12,21.0,-4.864e-09,3.793593e-11
22.0,2.1418e-08,-1.049482e-10,22.0,-2.4505e-08,-5.292577e-11,22.0,9.282e-09,-5.213247e-12,22.0,-2.096e-08,2.444864e-11
23.0,-2.3999e-08,-1.029708e-10,23.0,4.79e-09,-6.468914e-11,23.0,-2.4365e-08,-1.439067e-11,23.0,1.7726e-08,2.034167e-11
24.0,1.8338e-08,-1.104243e-10,24.0,2.216e-08,-5.845251e-11,24.0,6.621e-09,-1.662168e-11,24.0,1.5788e-08,2.394163e-11
25.0,-5.882e-09,-1.01044e-10,25.0,-1.9011e-08,-5.779341e-11,25.0,2.1623e-08,-2.432866e-11,25.0,-1.9716e-08,2.52092e-11
26.0,-1.0002e-08,-1.162046e-10,26.0,-1.1488e-08,-7.158493e-11,26.0,-2.0986e-08,-1.682442e-11,26.0,-8.035e-09,1.593033e-11
27.0,2.5338e-08,-1.175229e-10,27.0,2.5742e-08,-7.234549e-11,27.0,1.332e-09,-3.152873e-11,27.0,2.5886e-08,1.349658e-11
28.0,-2.125e-08,-1.102722e-10,28.0,-4.5e-11,-5.941592e-11,28.0,2.5351e-08,-2.899351e-11,28.0,-1.1065e-08,1.674158e-11
29.0,-1.2847e-08,-1.261938e-10,29.0,-2.2261e-08,-7.685816e-11,29.0,-7.383e-09,-2.534274e-11,29.0,-1.3765e-08,9.08526e-12
30.0,2.1963e-08,-1.25636e-10,30.0,1.3605e-08,-7.853136e-11,30.0,-2.2421e-08,-3.401315e-11,30.0,2.579e-08,4.724707e-12
31.0,-2.3969e-08,-1.238105e-10,31.0,1.5482e-08,-7.259898e-11,31.0,1.2694e-08,-3.619351e-11,31.0,2.1064e-08,9.947237e-12
32.0,2.0554e-08,-1.275629e-10,32.0,-2.1124e-08,-7.685812e-11,32.0,2.1764e-08,-4.161878e-11,32.0,-2.3072e-08,6.245907e-12
33.0,-3.149e-09,-1.238612e-10,33.0,-3.742e-09,-8.781028e-11,33.0,-2.1318e-08,-4.126385e-11,33.0,2.11e-10,-4.097715e-12
34.0,-1.1587e-08,-1.293377e-10,34.0,2.6056e-08,-8.395675e-11,34.0,2.852e-09,-5.120188e-11,34.0,2.2705e-08,-3.457512e-13
35.0,2.4772e-08,-1.333436e-10,35.0,-8.72e-09,-8.025533e-11,35.0,2.5104e-08,-4.810895e-11,35.0,-1.614e-08,-1.663988e-12
36.0,-2.371e-08,-1.357268e-10,36.0,-2.3258e-08,-9.186656e-11,36.0,-9.717e-09,-4.501594e-11,36.0,-1.5086e-08,-1.499915e-11
37.0,1.8524e-08,-1.389721e-10,37.0,1.4184e-08,-9.749473e-11,37.0,-1.3109e-08,-5.338217e-11,37.0,2.3971e-08,-1.606404e-11
38.0,1.817e-09,-1.374509e-10,38.0,1.9593e-08,-9.348911e-11,38.0,7.023e-09,-5.662722e-11,38.0,2.301e-08,-1.144993e-11
