Keithley_v,Keithley_a,b2901a_v,b2901a_a
5.0,4.459301e-10,-9.0,4.556e-09
5.0,-6.49955e-11,-8.0,9.39e-10
5.0,2.191393e-10,-7.0,-1.2827e-08
5.0,1.666626e-10,-6.0,-1.3667e-08
5.0,-2.405853e-10,-5.0,-1.9656e-08
5.0,1.085073e-10,-4.0,1.6318e-08
5.0,1.06327e-10,-3.0,1.9514e-08
5.0,9.299236e-11,-2.0,-9.823e-09
5.0,8.310551e-11,-1.0,-5.106e-09
5.0,5.415449e-11,0.0,1.3492e-08
5.0,6.267251e-11,1.0,-1.9499e-08
5.0,3.42793e-11,2.0,1.7959e-08
5.0,7.60073e-11,3.0,-1.086e-08
5.0,2.327694e-11,4.0,-4e-09
5.0,2.971622e-11,5.0,1.4046e-08
5.0,3.929888e-11,6.0,-1.9378e-08
5.0,8.218426e-12,7.0,1.653e-08
5.0,5.349543e-11,8.0,-8.364e-09
5.0,4.669251e-12,9.0,-6.504e-09
5.0,-1.060055e-12,10.0,1.6551e-08
5.0,1.795324e-11,11.0,-1.9321e-08
5.0,-1.865371e-11,12.0,1.7412e-08
5.0,1.582373e-11,13.0,-5.989e-09
5.0,-1.403984e-11,14.0,-6.98e-10
5.0,-3.544512e-12,15.0,9.125e-09
5.0,-2.581095e-12,16.0,-1.8606e-08
5.0,-2.717169e-11,17.0,1.8595e-08
5.0,6.038239e-12,18.0,-9.697e-09
5.0,-3.02138e-11,19.0,-6.159e-09
5.0,-2.554932e-11,20.0,1.7076e-08
5.0,-2.023437e-12,21.0,-1.9491e-08
5.0,-3.771773e-11,22.0,8.841e-09
5.0,-1.814665e-11,23.0,1.0207e-08
5.0,-1.662564e-11,24.0,-1.9294e-08
5.0,-3.670373e-11,25.0,1.9526e-08
5.0,-1.485109e-11,26.0,-1.019e-08
5.0,-4.491743e-11,27.0,-4.491e-09
5.0,-3.964444e-11,28.0,1.5614e-08
5.0,-1.987057e-11,29.0,-1.937e-08
5.0,-5.282697e-11,30.0,1.5715e-08
5.0,-2.732382e-11,31.0,-5.64e-10
5.0,-4.18246e-11,32.0,-1.1351e-08
5.0,-5.07482e-11,33.0,1.9686e-08
5.0,-2.336897e-11,34.0,-1.6684e-08
5.0,-4.877081e-11,35.0,3.678e-09
5.0,-5.399314e-11,36.0,7.528e-09
5.0,-4.13176e-11,37.0,-1.7049e-08
5.0,-6.98122e-11,38.0,1.7769e-08
5.0,-1.834949e-11,39.0,-8.682e-09
5.0,-5.951965e-11,40.0,-6.383e-09
8.75,7.729585e-10,-9.0,-1.649e-08
8.75,4.092723e-10,-8.0,-7.621e-09
8.75,3.023416e-10,-7.0,1.8809e-08
8.75,2.624896e-10,-6.0,-8.623e-09
8.75,2.257811e-10,-5.0,-1.1645e-08
8.75,2.122945e-10,-4.0,1.917e-08
8.75,1.820254e-10,-3.0,-5.485e-09
