keithley: v, a	b2901a: v a
5.000000000, 0.000000001	-9.411764706, 0.000000000
5.000000000, 0.000000000	-8.823529412, -0.000000016
5.000000000, 0.000000000	-8.235294118, 0.000000024
5.000000000, 0.000000000	-7.647058824, -0.000000018
5.000000000, 0.000000000	-7.058823529, 0.000000002
5.000000000, 0.000000000	-6.470588235, 0.000000015
5.000000000, 0.000000000	-5.882352941, -0.000000025
5.000000000, 0.000000000	-5.294117647, 0.000000019
5.000000000, 0.000000000	-4.705882353, -0.000000004
5.000000000, 0.000000000	-4.117647059, -0.000000016
5.000000000, 0.000000000	-3.529411765, 0.000000024
5.000000000, 0.000000000	-2.941176471, -0.000000019
5.000000000, 0.000000000	-2.352941176, 0.000000002
5.000000000, 0.000000000	-1.764705882, 0.000000015
5.000000000, 0.000000000	-1.176470588, -0.000000024
5.000000000, 0.000000000	-0.588235294, 0.000000022
5.000000000, 0.000000000	-0.000000000, -0.000000008
5.000000000, 0.000000000	0.588235294, -0.000000011
5.000000000, 0.000000000	1.176470588, 0.000000024
5.000000000, 0.000000000	1.764705882, -0.000000021
5.000000000, 0.000000000	2.352941176, 0.000000007
5.000000000, -0.000000000	2.941176471, 0.000000012
5.000000000, -0.000000000	3.529411765, -0.000000021
5.000000000, -0.000000000	4.117647059, 0.000000024
5.000000000, -0.000000000	4.705882353, -0.000000013
5.000000000, 0.000000000	5.294117647, -0.000000006
5.000000000, 0.000000000	5.882352941, 0.000000020
5.000000000, 0.000000000	6.470588235, -0.000000024
5.000000000, -0.000000000	7.058823529, 0.000000015
5.000000000, -0.000000000	7.647058824, 0.000000002
5.000000000, -0.000000000	8.235294118, -0.000000018
5.000000000, -0.000000000	8.823529412, 0.000000025
5.000000000, 0.000000000	9.411764706, -0.000000018
5.000000000, 0.000000000	10.000000000, 0.000000004
5.000000000, 0.000000000	10.588235294, 0.000000011
5.000000000, -0.000000000	11.176470588, -0.000000024
5.000000000, -0.000000000	11.764705882, 0.000000025
5.000000000, -0.000000000	12.352941176, -0.000000020
5.000000000, -0.000000000	12.941176471, 0.000000005
5.000000000, -0.000000000	13.529411765, 0.000000014
5.000000000, -0.000000000	14.117647059, -0.000000024
5.000000000, -0.000000000	14.705882353, 0.000000021
5.000000000, -0.000000000	15.294117647, -0.000000003
5.000000000, -0.000000000	15.882352941, -0.000000012
5.000000000, -0.000000000	16.470588235, 0.000000025
5.000000000, -0.000000000	17.058823529, -0.000000020
5.000000000, -0.000000000	17.647058824, 0.000000013
5.000000000, -0.000000000	18.235294118, 0.000000009
5.000000000, -0.000000000	18.823529412, -0.000000022
5.000000000, -0.000000000	19.411764706, 0.000000023
10.000000000, 0.000000001	-9.411764706, -0.000000006
10.000000000, 0.000000001	-8.823529412, 0.000000018
10.000000000, 0.000000000	-8.235294118, -0.000000025
10.000000000, 0.000000000	-7.647058824, 0.000000016
10.000000000, 0.000000000	-7.058823529, 0.000000004
10.000000000, 0.000000000	-6.470588235, -0.000000018
10.000000000, 0.000000000	-5.882352941, 0.000000024
10.000000000, 0.000000000	-5.294117647, -0.000000019
10.000000000, 0.000000000	-4.705882353, 0.000000001
10.000000000, 0.000000000	-4.117647059, 0.000000018
10.000000000, 0.000000000	-3.529411765, -0.000000024
10.000000000, 0.000000000	-2.941176471, 0.000000007
10.000000000, 0.000000000	-2.352941176, 0.000000014
10.000000000, 0.000000000	-1.764705882, -0.000000025
10.000000000, 0.000000000	-1.176470588, 0.000000021
10.000000000, 0.000000000	-0.588235294, -0.000000006
10.000000000, 0.000000000	-0.000000000, -0.000000015
10.000000000, -0.000000000	0.588235294, 0.000000025
10.000000000, 0.000000000	1.176470588, -0.000000021
10.000000000, -0.000000000	1.764705882, 0.000000008
10.000000000, -0.000000000	2.352941176, 0.000000012
10.000000000, 0.000000000	2.941176471, -0.000000025
10.000000000, -0.000000000	3.529411765, 0.000000014
10.000000000, -0.000000000	4.117647059, 0.000000006
10.000000000, -0.000000000	4.705882353, -0.000000024
10.000000000, 0.000000000	5.294117647, 0.000000012
10.000000000, 0.000000000	5.882352941, 0.000000010
10.000000000, 0.000000000	6.470588235, -0.000000023
10.000000000, 0.000000000	7.058823529, 0.000000024
10.000000000, 0.000000000	7.647058824, -0.000000011
10.000000000, 0.000000000	8.235294118, -0.000000012
10.000000000, 0.000000000	8.823529412, 0.000000025
10.000000000, 0.000000000	9.411764706, -0.000000019
10.000000000, 0.000000000	10.000000000, -0.000000002
10.000000000, 0.000000000	10.588235294, 0.000000023
10.000000000, 0.000000000	11.176470588, -0.000000018
10.000000000, 0.000000000	11.764705882, -0.000000008
10.000000000, 0.000000000	12.352941176, 0.000000025
10.000000000, 0.000000000	12.941176471, -0.000000019
10.000000000, 0.000000000	13.529411765, 0.000000003
