keithley: v, a	b2901a: v a
-9.000000000, -0.000000001	5.000000000, -0.000000004
-8.000000000, -0.000000000	5.000000000, 0.000000010
-7.000000000, 0.000000000	5.000000000, -0.000000018
-6.000000000, 0.000000000	5.000000000, 0.000000019
-5.000000000, 0.000000000	5.000000000, 0.000000010
-4.000000000, 0.000000000	5.000000000, 0.000000001
-3.000000000, 0.000000000	5.000000000, -0.000000008
-2.000000000, 0.000000000	5.000000000, 0.000000016
-1.000000000, 0.000000001	5.000000000, -0.000000019
0.000000000, 0.000000001	5.000000000, 0.000000019
1.000000000, 0.000000001	5.000000000, -0.000000018
2.000000000, 0.000000001	5.000000000, 0.000000015
3.000000000, 0.000000001	5.000000000, 0.000000000
4.000000000, 0.000000001	5.000000000, -0.000000006
5.000000000, 0.000000001	5.000000000, 0.000000012
6.000000000, 0.000000001	5.000000000, -0.000000019
7.000000000, 0.000000001	5.000000000, 0.000000019
8.000000000, 0.000000001	5.000000000, -0.000000015
9.000000000, 0.000000001	5.000000000, 0.000000003
10.000000000, 0.000000001	5.000000000, 0.000000008
11.000000000, 0.000000001	5.000000000, -0.000000019
12.000000000, 0.000000001	5.000000000, 0.000000014
13.000000000, 0.000000001	5.000000000, 0.000000000
14.000000000, 0.000000001	5.000000000, -0.000000019
15.000000000, 0.000000001	5.000000000, 0.000000014
16.000000000, 0.000000001	5.000000000, 0.000000001
17.000000000, 0.000000001	5.000000000, 0.000000019
18.000000000, 0.000000001	5.000000000, 0.000000012
19.000000000, 0.000000001	5.000000000, -0.000000005
20.000000000, 0.000000001	5.000000000, -0.000000019
21.000000000, 0.000000001	5.000000000, -0.000000017
22.000000000, 0.000000001	5.000000000, -0.000000002
23.000000000, 0.000000001	5.000000000, -0.000000019
24.000000000, 0.000000001	5.000000000, 0.000000016
25.000000000, 0.000000001	5.000000000, -0.000000012
26.000000000, 0.000000001	5.000000000, 0.000000019
27.000000000, 0.000000001	5.000000000, 0.000000003
28.000000000, 0.000000001	5.000000000, 0.000000019
29.000000000, 0.000000001	5.000000000, 0.000000011
30.000000000, 0.000000001	5.000000000, -0.000000007
31.000000000, 0.000000001	5.000000000, 0.000000016
32.000000000, 0.000000001	5.000000000, 0.000000013
33.000000000, 0.000000001	5.000000000, 0.000000009
34.000000000, 0.000000001	5.000000000, -0.000000019
35.000000000, 0.000000001	5.000000000, -0.000000008
36.000000000, 0.000000001	5.000000000, -0.000000010
37.000000000, 0.000000001	5.000000000, -0.000000020
38.000000000, 0.000000001	5.000000000, -0.000000009
39.000000000, 0.000000001	5.000000000, -0.000000010
40.000000000, 0.000000001	5.000000000, 0.000000017
-9.000000000, -0.000000006	8.750000000, 0.000000019
-8.000000000, -0.000000002	8.750000000, 0.000000012
-7.000000000, -0.000000001	8.750000000, 0.000000004
-6.000000000, -0.000000001	8.750000000, -0.000000013
-5.000000000, -0.000000001	8.750000000, -0.000000019
-4.000000000, -0.000000000	8.750000000, 0.000000019
-3.000000000, -0.000000000	8.750000000, -0.000000020
-2.000000000, -0.000000000	8.750000000, -0.000000011
-1.000000000, 0.000000000	8.750000000, 0.000000006
0.000000000, 0.000000000	8.750000000, 0.000000003
1.000000000, 0.000000000	8.750000000, -0.000000003
2.000000000, 0.000000000	8.750000000, 0.000000011
3.000000000, 0.000000000	8.750000000, -0.000000014
4.000000000, 0.000000000	8.750000000, -0.000000019
5.000000000, 0.000000001	8.750000000, 0.000000016
6.000000000, 0.000000001	8.750000000, -0.000000013
7.000000000, 0.000000001	8.750000000, -0.000000001
8.000000000, 0.000000001	8.750000000, 0.000000012
9.000000000, 0.000000001	8.750000000, -0.000000019
10.000000000, 0.000000001	8.750000000, 0.000000019
11.000000000, 0.000000001	8.750000000, 0.000000002
12.000000000, 0.000000001	8.750000000, -0.000000015
13.000000000, 0.000000001	8.750000000, 0.000000019
14.000000000, 0.000000001	8.750000000, -0.000000011
15.000000000, 0.000000001	8.750000000, -0.000000002
16.000000000, 0.000000001	8.750000000, -0.000000020
17.000000000, 0.000000001	8.750000000, 0.000000012
18.000000000, 0.000000001	8.750000000, -0.000000011
19.000000000, 0.000000001	8.750000000, -0.000000018
20.000000000, 0.000000001	8.750000000, -0.000000004
21.000000000, 0.000000001	8.750000000, 0.000000015
22.000000000, 0.000000001	8.750000000, -0.000000019
23.000000000, 0.000000001	8.750000000, -0.000000004
24.000000000, 0.000000001	8.750000000, 0.000000016
25.000000000, 0.000000001	8.750000000, -0.000000019
26.000000000, 0.000000001	8.750000000, 0.000000008
27.000000000, 0.000000001	8.750000000, 0.000000009
28.000000000, 0.000000001	8.750000000, 0.000000018
29.000000000, 0.000000001	8.750000000, -0.000000005
30.000000000, 0.000000001	8.750000000, 0.000000017
31.000000000, 0.000000001	8.750000000, -0.000000020
32.000000000, 0.000000001	8.750000000, 0.000000006
33.000000000, 0.000000001	8.750000000, -0.000000019
34.000000000, 0.000000001	8.750000000, 0.000000001
35.000000000, 0.000000001	8.750000000, -0.000000019
36.000000000, 0.000000001	8.750000000, 0.000000016
37.000000000, 0.000000001	8.750000000, -0.000000001
38.000000000, 0.000000001	8.750000000, -0.000000019
39.000000000, 0.000000002	8.750000000, 0.000000013
40.000000000, 0.000000001	8.750000000, -0.000000000
-9.000000000, -0.000000006	12.500000000, 0.000000007
-8.000000000, -0.000000002	12.500000000, -0.000000015
-7.000000000, -0.000000001	12.500000000, 0.000000019
-6.000000000, -0.000000001	12.500000000, -0.000000019
-5.000000000, -0.000000001	12.500000000, 0.000000017
-4.000000000, -0.000000000	12.500000000, 0.000000004
