keithley: v, a	b2901a: v a
-9.410000000, -0.000000003	5.000000000, 0.000000008
-8.820000000, -0.000000001	5.000000000, 0.000000024
-8.230000000, -0.000000001	5.000000000, 0.000000009
-7.640000000, -0.000000001	5.000000000, -0.000000023
-7.050000000, -0.000000000	5.000000000, 0.000000011
-6.460000000, -0.000000000	5.000000000, -0.000000024
-5.870000000, -0.000000000	5.000000000, 0.000000006
-5.280000000, -0.000000000	5.000000000, 0.000000020
-4.690000000, -0.000000000	5.000000000, -0.000000017
-4.100000000, -0.000000000	5.000000000, -0.000000018
-3.510000000, 0.000000000	5.000000000, 0.000000015
-2.920000000, 0.000000000	5.000000000, 0.000000020
-2.330000000, 0.000000000	5.000000000, -0.000000017
-1.740000000, 0.000000000	5.000000000, -0.000000013
-1.150000000, 0.000000000	5.000000000, 0.000000024
-0.560000000, 0.000000000	5.000000000, -0.000000000
0.030000000, 0.000000000	5.000000000, -0.000000024
0.620000000, 0.000000000	5.000000000, -0.000000001
1.210000000, 0.000000000	5.000000000, -0.000000024
1.800000000, 0.000000000	5.000000000, 0.000000001
2.390000000, 0.000000000	5.000000000, 0.000000024
2.980000000, 0.000000000	5.000000000, -0.000000007
3.570000000, 0.000000000	5.000000000, 0.000000024
4.160000000, 0.000000000	5.000000000, -0.000000004
4.750000000, 0.000000000	5.000000000, -0.000000022
5.340000000, 0.000000000	5.000000000, 0.000000019
5.930000000, 0.000000000	5.000000000, 0.000000013
6.520000000, 0.000000000	5.000000000, -0.000000024
7.110000000, 0.000000000	5.000000000, 0.000000004
7.700000000, 0.000000000	5.000000000, 0.000000022
8.290000000, 0.000000000	5.000000000, -0.000000012
8.880000000, 0.000000001	5.000000000, 0.000000024
9.470000000, 0.000000001	5.000000000, 0.000000008
10.060000000, 0.000000001	5.000000000, -0.000000024
10.650000000, 0.000000001	5.000000000, 0.000000005
11.240000000, 0.000000001	5.000000000, 0.000000024
11.830000000, 0.000000001	5.000000000, 0.000000005
12.420000000, 0.000000001	5.000000000, 0.000000023
13.010000000, 0.000000001	5.000000000, 0.000000009
13.600000000, 0.000000001	5.000000000, -0.000000022
14.190000000, 0.000000001	5.000000000, -0.000000011
14.780000000, 0.000000001	5.000000000, 0.000000018
15.370000000, 0.000000001	5.000000000, 0.000000015
15.960000000, 0.000000001	5.000000000, 0.000000017
16.550000000, 0.000000001	5.000000000, 0.000000019
17.140000000, 0.000000001	5.000000000, -0.000000009
17.730000000, 0.000000001	5.000000000, -0.000000024
18.320000000, 0.000000001	5.000000000, -0.000000006
18.910000000, 0.000000001	5.000000000, 0.000000020
19.500000000, 0.000000001	5.000000000, 0.000000016
-9.410000000, -0.000000003	10.000000000, 0.000000025
-8.820000000, -0.000000002	10.000000000, -0.000000007
-8.230000000, -0.000000001	10.000000000, 0.000000022
-7.640000000, -0.000000001	10.000000000, 0.000000008
-7.050000000, -0.000000001	10.000000000, 0.000000024
-6.460000000, -0.000000000	10.000000000, -0.000000002
-5.870000000, -0.000000000	10.000000000, -0.000000024
-5.280000000, -0.000000000	10.000000000, 0.000000004
-4.690000000, -0.000000000	10.000000000, 0.000000022
-4.100000000, -0.000000000	10.000000000, -0.000000015
-3.510000000, -0.000000000	10.000000000, -0.000000019
-2.920000000, 0.000000000	10.000000000, 0.000000018
-2.330000000, 0.000000000	10.000000000, 0.000000019
-1.740000000, 0.000000000	10.000000000, -0.000000015
-1.150000000, 0.000000000	10.000000000, -0.000000019
-0.560000000, 0.000000000	10.000000000, 0.000000009
0.030000000, 0.000000000	10.000000000, 0.000000025
0.620000000, 0.000000000	10.000000000, -0.000000007
1.210000000, 0.000000000	10.000000000, 0.000000025
1.800000000, 0.000000000	10.000000000, -0.000000003
2.390000000, 0.000000000	10.000000000, -0.000000021
2.980000000, 0.000000000	10.000000000, 0.000000018
3.570000000, 0.000000000	10.000000000, 0.000000004
4.160000000, 0.000000000	10.000000000, -0.000000024
4.750000000, 0.000000000	10.000000000, 0.000000013
5.340000000, 0.000000000	10.000000000, 0.000000015
5.930000000, 0.000000000	10.000000000, 0.000000022
6.520000000, 0.000000000	10.000000000, 0.000000005
7.110000000, 0.000000000	10.000000000, -0.000000024
7.700000000, 0.000000000	10.000000000, 0.000000009
8.290000000, 0.000000000	10.000000000, 0.000000024
8.880000000, 0.000000000	10.000000000, -0.000000003
