keithley: v, a	b2901a: v a
5.000000000, 0.000000001	-9.000000000, -0.000000016
5.000000000, 0.000000000	-8.000000000, -0.000000005
5.000000000, 0.000000000	-7.000000000, 0.000000018
5.000000000, 0.000000000	-6.000000000, -0.000000025
5.000000000, 0.000000000	-5.000000000, 0.000000022
5.000000000, 0.000000000	-4.000000000, -0.000000014
5.000000000, 0.000000000	-3.000000000, -0.000000006
5.000000000, 0.000000000	-2.000000000, 0.000000021
5.000000000, 0.000000000	-1.000000000, -0.000000024
5.000000000, 0.000000000	0.000000000, 0.000000015
5.000000000, 0.000000000	1.000000000, -0.000000001
5.000000000, 0.000000000	2.000000000, -0.000000015
5.000000000, -0.000000000	3.000000000, 0.000000025
5.000000000, -0.000000000	4.000000000, -0.000000024
5.000000000, -0.000000000	5.000000000, 0.000000013
5.000000000, -0.000000000	6.000000000, 0.000000006
5.000000000, -0.000000000	7.000000000, -0.000000024
5.000000000, -0.000000000	8.000000000, 0.000000007
5.000000000, -0.000000000	9.000000000, 0.000000013
5.000000000, -0.000000000	10.000000000, -0.000000023
5.000000000, -0.000000000	11.000000000, 0.000000025
5.000000000, -0.000000000	12.000000000, -0.000000015
5.000000000, -0.000000000	13.000000000, -0.000000004
5.000000000, -0.000000000	14.000000000, 0.000000020
5.000000000, -0.000000000	15.000000000, -0.000000024
5.000000000, -0.000000000	16.000000000, 0.000000014
5.000000000, -0.000000000	17.000000000, 0.000000012
5.000000000, -0.000000000	18.000000000, -0.000000024
5.000000000, -0.000000000	19.000000000, 0.000000021
5.000000000, -0.000000000	20.000000000, -0.000000006
5.000000000, -0.000000000	21.000000000, -0.000000009
5.000000000, -0.000000000	22.000000000, 0.000000021
5.000000000, -0.000000000	23.000000000, -0.000000024
5.000000000, -0.000000000	24.000000000, 0.000000018
5.000000000, -0.000000000	25.000000000, -0.000000006
5.000000000, -0.000000000	26.000000000, -0.000000010
5.000000000, -0.000000000	27.000000000, 0.000000025
5.000000000, -0.000000000	28.000000000, -0.000000021
5.000000000, -0.000000000	29.000000000, -0.000000013
5.000000000, -0.000000000	30.000000000, 0.000000022
5.000000000, -0.000000000	31.000000000, -0.000000024
5.000000000, -0.000000000	32.000000000, 0.000000021
5.000000000, -0.000000000	33.000000000, -0.000000003
5.000000000, -0.000000000	34.000000000, -0.000000012
5.000000000, -0.000000000	35.000000000, 0.000000025
5.000000000, -0.000000000	36.000000000, -0.000000024
5.000000000, -0.000000000	37.000000000, 0.000000019
5.000000000, -0.000000000	38.000000000, 0.000000002
5.000000000, -0.000000000	39.000000000, -0.000000014
5.000000000, -0.000000000	40.000000000, 0.000000024
8.750000000, 0.000000001	-9.000000000, 0.000000007
8.750000000, 0.000000001	-8.000000000, 0.000000014
8.750000000, 0.000000000	-7.000000000, -0.000000023
8.750000000, 0.000000000	-6.000000000, -0.000000006
