Keithley_v,Keithley_a,b2901a_v,b2901a_a
5.0,6.71202e-10,-9.411764705882353,4.1e-11
5.0,4.52523e-10,-8.823529411764707,-1.64e-08
5.0,3.061456e-10,-8.23529411764706,2.4081e-08
5.0,2.035241e-10,-7.647058823529413,-1.8316e-08
5.0,1.903921e-10,-7.058823529411766,2.475e-09
5.0,1.666129e-10,-6.4705882352941195,1.4939e-08
5.0,1.17178e-10,-5.882352941176473,-2.4525e-08
5.0,7.007561e-11,-5.294117647058826,1.9488e-08
5.0,4.325404e-11,-4.705882352941179,-4.087e-09
5.0,4.736112e-11,-4.1176470588235325,-1.5733e-08
5.0,4.781731e-11,-3.5294117647058854,2.4463e-08
5.0,4.031336e-11,-2.941176470588238,-1.855e-08
5.0,4.807077e-11,-2.352941176470591,1.779e-09
5.0,5.344526e-11,-1.7647058823529438,1.5359e-08
5.0,5.34959e-11,-1.1764705882352966,-2.4499e-08
5.0,4.999746e-11,-0.5882352941176495,2.1925e-08
5.0,4.153018e-11,-2.4424906541753444e-15,-8.02e-09
5.0,4.28992e-11,0.5882352941176446,-1.1385e-08
5.0,4.74116e-11,1.1764705882352917,2.4174e-08
5.0,2.576182e-11,1.764705882352939,-2.0511e-08
5.0,2.337339e-12,2.352941176470586,7.22e-09
5.0,-1.246775e-11,2.9411764705882333,1.2111e-08
5.0,-3.036571e-11,3.5294117647058805,-2.0934e-08
5.0,-2.093509e-11,4.117647058823527,2.3869e-08
5.0,-5.622967e-12,4.705882352941174,-1.309e-08
5.0,3.148523e-12,5.294117647058821,-5.912e-09
5.0,1.014543e-11,5.8823529411764675,1.9975e-08
5.0,3.433044e-11,6.470588235294114,-2.413e-08
5.0,-1.348184e-11,7.058823529411761,1.4538e-08
5.0,-3.001074e-11,7.647058823529408,1.758e-09
5.0,-5.673635e-12,8.235294117647054,-1.8027e-08
5.0,-4.913077e-12,8.823529411764701,2.4996e-08
5.0,1.405009e-10,9.411764705882348,-1.7846e-08
5.0,1.058714e-10,9.999999999999995,4.489e-09
5.0,7.326983e-11,10.588235294117641,1.0819e-08
5.0,-6.925434e-11,11.176470588235288,-2.3733e-08
5.0,-5.003815e-11,11.764705882352935,2.4711e-08
5.0,-1.011968e-10,12.352941176470582,-2.0079e-08
5.0,-3.391483e-11,12.941176470588228,4.607e-09
5.0,-8.289325e-11,13.529411764705875,1.3549e-08
5.0,-5.657877e-11,14.117647058823522,-2.4369e-08
