Keithley_v,Keithley_a,b2901a_v,b2901a_a
-9.0,-9.285454e-10,5.0,-4.137e-09
-8.0,-3.54669e-10,5.0,1.0239e-08
-7.0,8.335563e-11,5.0,-1.8385e-08
-6.0,1.392285e-10,5.0,1.9391e-08
-5.0,2.508728e-10,5.0,9.649e-09
-4.0,2.479321e-10,5.0,6.96e-10
-3.0,3.811751e-10,5.0,-8.074e-09
-2.0,4.793838e-10,5.0,1.5829e-08
-1.0,5.122886e-10,5.0,-1.9365e-08
0.0,6.988187e-10,5.0,1.9318e-08
1.0,5.919408e-10,5.0,-1.8231e-08
2.0,6.249474e-10,5.0,1.4819e-08
3.0,7.02216e-10,5.0,3.56e-10
4.0,7.14739e-10,5.0,-5.674e-09
5.0,7.496216e-10,5.0,1.1854e-08
6.0,7.502304e-10,5.0,-1.9389e-08
7.0,7.405969e-10,5.0,1.9251e-08
8.0,7.85265e-10,5.0,-1.4653e-08
9.0,7.994108e-10,5.0,2.606e-09
10.0,8.424559e-10,5.0,7.793e-09
11.0,8.566016e-10,5.0,-1.9436e-08
12.0,8.761211e-10,5.0,1.353e-08
13.0,9.247441e-10,5.0,2.73e-10
14.0,9.459364e-10,5.0,-1.8852e-08
15.0,9.551651e-10,5.0,1.4028e-08
16.0,9.908587e-10,5.0,5.18e-10
17.0,9.991228e-10,5.0,1.9112e-08
18.0,1.035272e-09,5.0,1.1833e-08
19.0,1.061739e-09,5.0,-5.393e-09
20.0,1.072538e-09,5.0,-1.8729e-08
21.0,1.085822e-09,5.0,-1.744e-08
22.0,1.106052e-09,5.0,-2.495e-09
23.0,1.132163e-09,5.0,-1.9374e-08
24.0,1.14935e-09,5.0,1.6273e-08
25.0,1.200661e-09,5.0,-1.1561e-08
26.0,1.187123e-09,5.0,1.9044e-08
27.0,1.219268e-09,5.0,2.913e-09
28.0,1.245582e-09,5.0,1.9132e-08
29.0,1.253187e-09,5.0,1.1246e-08
30.0,1.257345e-09,5.0,-7.264e-09
31.0,1.27291e-09,5.0,1.6352e-08
32.0,1.302214e-09,5.0,1.2935e-08
33.0,1.31423e-09,5.0,8.72e-09
34.0,1.32498e-09,5.0,-1.9479e-08
35.0,1.334359e-09,5.0,-7.792e-09
36.0,1.342471e-09,5.0,-9.976e-09
37.0,1.369445e-09,5.0,-1.9715e-08
38.0,1.389928e-09,5.0,-8.677e-09
39.0,1.439311e-09,5.0,-9.522e-09
40.0,1.440579e-09,5.0,1.7356e-08
-9.0,-5.535429e-09,8.75,1.9358e-08
-8.0,-2.461855e-09,8.75,1.1674e-08
-7.0,-1.484573e-09,8.75,3.548e-09
-6.0,-9.432495e-10,8.75,-1.2622e-08
-5.0,-6.102209e-10,8.75,-1.8706e-08
